study_hours_daily,mock_test_avg,physics_accuracy_pct,chemistry_accuracy_pct,biology_accuracy_pct,revision_cycles,attendance_pct,sleep_hours,dropper_years,coaching_type,exam_medium,school_board,neet_marks,neet_rank
7.39,367.6,50.3,57.3,69.7,3,87.5,7.15,0,offline,english,cbse,335,225272
7.26,358.2,60.7,70.7,77.2,4,83.9,7.37,0,hybrid,english,cbse,410,102352
7.65,449.3,71.2,60.2,80.3,5,71.3,7.19,1,none,english,cbse,471,43995
5.65,394.7,60.7,63.2,74.5,6,75.3,7.6,0,offline,hindi,cbse,449,57387
6.42,402.1,75.4,75.4,85.7,4,89.5,6.5,0,offline,hindi,cbse,449,63065
6.7,501.4,90.9,70.9,80.1,6,84.7,6.65,0,hybrid,hindi,cbse,530,14811
8.46,407.9,53.2,50.4,66.0,4,74.6,8.93,0,hybrid,hindi,cbse,377,144961
4.62,329.0,63.3,53.0,61.9,1,64.5,7.93,0,none,english,cbse,331,234143
6.29,426.5,70.0,66.9,66.0,5,85.0,7.83,1,hybrid,english,cbse,456,52811
7.14,528.7,84.6,71.6,78.9,8,100.0,5.91,0,none,regional,cbse,535,15958
5.62,367.7,52.9,49.8,48.8,4,67.8,8.01,0,online,regional,cbse,351,191590
2.06,340.8,66.6,69.5,78.6,4,88.6,6.24,0,none,regional,cbse,398,114943
7.71,535.9,94.0,88.7,95.7,5,93.7,5.74,0,online,hindi,cbse,657,178
2.79,319.5,49.6,61.6,72.9,3,74.2,8.07,0,hybrid,english,cbse,352,190268
8.86,490.1,70.0,88.3,82.4,6,90.5,7.92,1,hybrid,english,cbse,561,10171
3.88,336.3,62.0,65.5,60.7,4,65.5,6.51,1,online,hindi,cbse,399,111962
3.93,313.3,42.1,43.6,55.9,1,77.1,6.53,0,none,english,state,293,331104
3.72,359.2,40.2,55.9,67.1,4,75.3,7.01,1,offline,english,state,368,159123
8.26,394.4,75.2,55.5,80.5,5,82.7,5.13,0,online,english,cbse,444,64044
6.32,473.5,57.1,78.2,63.0,4,80.6,7.24,1,hybrid,english,cbse,452,57938
9.55,498.4,82.4,73.5,85.3,5,92.5,7.12,1,none,hindi,cbse,467,45953
